,Diseases,Number of times a disease occurred in polygenic risk score's related articles
43860,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit level in Chronic kidney disease with hypertension and no diabetes (21733_11),0
43861,C1GLT/C1GLC Complex level in Chronic kidney disease with hypertension and no diabetes (21734_36),0
43862,Heparan sulfate 2-O-sulfotransferase 1 level in Chronic kidney disease with hypertension and no diabetes (21736_60),0
43863,"Beta-galactoside alpha-2,6-sialyltransferase 2 level in Chronic kidney disease with hypertension and no diabetes (21737_20)",0
43864,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase level in Chronic kidney disease with hypertension and no diabetes (21739_7),0
43865,Ubiquitin carboxyl-terminal hydrolase 1 level in Chronic kidney disease with hypertension and no diabetes (21740_26),0
43866,OTU domain-containing protein 7B level in Chronic kidney disease with hypertension and no diabetes (21742_43),0
43867,WD repeat-containing protein 48 level in Chronic kidney disease with hypertension and no diabetes (21743_1),0
43868,Ubiquitin carboxyl-terminal hydrolase 10 level in Chronic kidney disease with hypertension and no diabetes (21746_13),0
43869,UBE2N (Ubc13)/Uev1a Complex level in Chronic kidney disease with hypertension and no diabetes (21747_114),0
43870,UBE2N (Ubc13)/Uev1a Complex level in Chronic kidney disease with hypertension and no diabetes (21747_8),0
43871,UBP46/WDR48 Complex level in Chronic kidney disease with hypertension and no diabetes (21748_36),0
43872,Ubiquitin carboxyl-terminal hydrolase BAP1 level in Chronic kidney disease with hypertension and no diabetes (21750_25),0
43873,USP12/WDR48 Complex level in Chronic kidney disease with hypertension and no diabetes (21751_6),0
43874,Mitochondrial Rho GTPase 1 level in Chronic kidney disease with hypertension and no diabetes (21752_10),0
43875,Ubiquitin thioesterase ZRANB1 level in Chronic kidney disease with hypertension and no diabetes (21754_5),0
43876,Ubiquitin carboxyl-terminal hydrolase 12 level in Chronic kidney disease with hypertension and no diabetes (21755_27),0
43877,Aromatic-L-amino-acid decarboxylase level in Chronic kidney disease with hypertension and no diabetes (3538_26),0
43878,Adiponectin level in Chronic kidney disease with hypertension and no diabetes (3554_24),0
43879,Alpha-1-antitrypsin level in Chronic kidney disease with hypertension and no diabetes (3580_25),0
43880,Alpha-2-HS-glycoprotein level in Chronic kidney disease with hypertension and no diabetes (3581_53),0
43881,Arylsulfatase A level in Chronic kidney disease with hypertension and no diabetes (3583_54),0
43882,Basigin level in Chronic kidney disease with hypertension and no diabetes (3585_54),0
43883,Bone morphogenetic protein 10 level in Chronic kidney disease with hypertension and no diabetes (3587_53),0
43884,Cadherin-6 level in Chronic kidney disease with hypertension and no diabetes (3591_51),0
43885,Calcium/calmodulin-dependent protein kinase type 1 level in Chronic kidney disease with hypertension and no diabetes (3592_4),0
43886,Caspase-3 level in Chronic kidney disease with hypertension and no diabetes (3593_72),0
43887,Chitotriosidase-1 level in Chronic kidney disease with hypertension and no diabetes (3600_2),0
43888,Neural cell adhesion molecule L1-like protein level in Chronic kidney disease with hypertension and no diabetes (3601_54),0
43889,C-type lectin domain family 7 member A level in Chronic kidney disease with hypertension and no diabetes (3603_60),0
43890,Mannan-binding lectin serine protease 1 level in Chronic kidney disease with hypertension and no diabetes (3605_77),0
43891,Dickkopf-related protein 3 level in Chronic kidney disease with hypertension and no diabetes (3607_71),0
43892,Endothelin-converting enzyme 1 level in Chronic kidney disease with hypertension and no diabetes (3611_70),0
43893,Ficolin-1 level in Chronic kidney disease with hypertension and no diabetes (3613_62),0
43894,N-acetylglucosamine-6-sulfatase level in Chronic kidney disease with hypertension and no diabetes (3616_3),0
43895,Hepatocyte growth factor activator level in Chronic kidney disease with hypertension and no diabetes (3617_80),0
43896,Interleukin-22 receptor subunit alpha-1 level in Chronic kidney disease with hypertension and no diabetes (3620_67),0
43897,Legumain level in Chronic kidney disease with hypertension and no diabetes (3622_33),0
43898,Lymphocyte antigen 86 level in Chronic kidney disease with hypertension and no diabetes (3623_84),0
43899,Progonadoliberin-2 level in Chronic kidney disease with hypertension and no diabetes (10708_3),0
43900,Zona pellucida-binding protein 2 level in Chronic kidney disease with hypertension and no diabetes (10710_23),0
43901,CMRF35-like molecule 7 level in Chronic kidney disease with hypertension and no diabetes (10713_151),0
43902,Angiotensinogen level in Chronic kidney disease with hypertension and no diabetes (3484_60),0
43903,Beta-2-microglobulin level in Chronic kidney disease with hypertension and no diabetes (3485_28),0
43904,Fibroblast growth factor 1 level in Chronic kidney disease with hypertension and no diabetes (3486_58),0
43905,C-X-C motif chemokine 13 level in Chronic kidney disease with hypertension and no diabetes (3487_32),0
43906,Catalase level in Chronic kidney disease with hypertension and no diabetes (3488_64),0
43907,Ciliary neurotrophic factor level in Chronic kidney disease with hypertension and no diabetes (3489_9),0
43908,Fibroblast growth factor 17 level in Chronic kidney disease with hypertension and no diabetes (3494_71),0
43909,C-X-C motif chemokine 6 level in Chronic kidney disease with hypertension and no diabetes (3495_15),0
43910,Interferon alpha-2 level in Chronic kidney disease with hypertension and no diabetes (3497_13),0
43911,Interleukin-17A level in Chronic kidney disease with hypertension and no diabetes (3498_53),0
43912,Interleukin-17B level in Chronic kidney disease with hypertension and no diabetes (3499_77),0
43913,Integrin alpha-I: beta-1 complex level in Chronic kidney disease with hypertension and no diabetes (3503_4),0
43914,Hepcidin level in Chronic kidney disease with hypertension and no diabetes (3504_58),0
43915,Lymphotoxin alpha1:beta2 level in Chronic kidney disease with hypertension and no diabetes (3505_6),0
43916,Lymphotoxin alpha2:beta1 level in Chronic kidney disease with hypertension and no diabetes (3506_49),0
43917,C-C motif chemokine 22 level in Chronic kidney disease with hypertension and no diabetes (3508_78),0
43918,C-C motif chemokine 15 level in Chronic kidney disease with hypertension and no diabetes (3509_1),0
43919,Myeloblastin level in Chronic kidney disease with hypertension and no diabetes (3514_49),0
43920,Stromal cell-derived factor 1 level in Chronic kidney disease with hypertension and no diabetes (3516_60),0
43921,Carboxypeptidase B2 level in Chronic kidney disease with hypertension and no diabetes (3518_54),0
43922,C-C motif chemokine 17 level in Chronic kidney disease with hypertension and no diabetes (3519_3),0
43923,Transforming growth factor beta-3 level in Chronic kidney disease with hypertension and no diabetes (3520_58),0
43924,Thyroid Stimulating Hormone level in Chronic kidney disease with hypertension and no diabetes (3521_16),0
43925,Vasoactive Intestinal Peptide level in Chronic kidney disease with hypertension and no diabetes (3522_57),0
43926,Dickkopf-related protein 1 level in Chronic kidney disease with hypertension and no diabetes (3535_84),0
43927,Alpha-2-HS-glycoprotein level in Chronic kidney disease with hypertension and no diabetes (10966_1),0
43928,Prolactin level in Chronic kidney disease with hypertension and no diabetes (10967_12),0
43929,Ecto-ADP-ribosyltransferase 3 level in Chronic kidney disease with hypertension and no diabetes (10970_3),0
43930,Serine protease inhibitor Kazal-type 7 level in Chronic kidney disease with hypertension and no diabetes (10974_20),0
43931,Mucin-like protein 1 level in Chronic kidney disease with hypertension and no diabetes (10975_59),0
43932,Mucin-1 level in Chronic kidney disease with hypertension and no diabetes (10976_44),0
43933,Unique cartilage matrix-associated protein level in Chronic kidney disease with hypertension and no diabetes (10977_55),0
43934,Growth hormone variant level in Chronic kidney disease with hypertension and no diabetes (10978_39),0
43935,Acetylcholinesterase level in Chronic kidney disease with hypertension and no diabetes (10980_11),0
43936,"Pro-neuregulin-3, membrane-bound isoform level in Chronic kidney disease with hypertension and no diabetes (10981_56)",0
43937,Leucine-rich repeat serine/threonine-protein kinase 2 level in Chronic kidney disease with hypertension and no diabetes (10990_21),0
43938,Osteocalcin level in Chronic kidney disease with hypertension and no diabetes (11067_13),0
43939,Interleukin-5 level in Chronic kidney disease with hypertension and no diabetes (11071_1),0
43940,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic level in Chronic kidney disease with hypertension and no diabetes (11081_1)",0
43941,Gamma-enolase level in Chronic kidney disease with hypertension and no diabetes (11083_23),0
43942,Immunoglobulin A level in Chronic kidney disease with hypertension and no diabetes (11089_7),0
43943,Galectin-10 level in Chronic kidney disease with hypertension and no diabetes (11094_104),0
43944,HemK methyltransferase family member 2 level in Chronic kidney disease with hypertension and no diabetes (11096_57),0
43945,Receptor activity-modifying protein 3 level in Chronic kidney disease with hypertension and no diabetes (15437_11),0
43946,Rho-related GTP-binding protein RhoE level in Chronic kidney disease with hypertension and no diabetes (15439_21),0
43947,Neuroendocrine convertase 2 level in Chronic kidney disease with hypertension and no diabetes (15440_57),0
43948,Ganglioside GM2 activator level in Chronic kidney disease with hypertension and no diabetes (15441_6),0
43949,Serpin B4 level in Chronic kidney disease with hypertension and no diabetes (15444_45),0
43950,"Neuregulin-1, sensory and motor neuron-derived factor isoform level in Chronic kidney disease with hypertension and no diabetes (15446_25)",0
43951,Sorbitol dehydrogenase level in Chronic kidney disease with hypertension and no diabetes (15447_45),0
43952,Angiotensin-converting enzyme level in Chronic kidney disease with hypertension and no diabetes (10714_7),0
43953,26S proteasome non-ATPase regulatory subunit 5 level in Chronic kidney disease with hypertension and no diabetes (10716_35),0
43954,Heat shock 70 kDa protein 1A level in Chronic kidney disease with hypertension and no diabetes (10721_76),0
43955,Tyrosine-protein kinase SYK level in Chronic kidney disease with hypertension and no diabetes (10722_13),0
43956,Heparan sulfate glucosamine 3-O-sulfotransferase 5 level in Chronic kidney disease with hypertension and no diabetes (10731_10),0
43957,Leukocyte elastase inhibitor level in Chronic kidney disease with hypertension and no diabetes (10737_96),0
43958,Fibulin-5 level in Chronic kidney disease with hypertension and no diabetes (10738_11),0
43959,Macrophage colony-stimulating factor 1 level in Chronic kidney disease with hypertension and no diabetes (10741_22),0
43960,SLIT and NTRK-like protein 1 level in Chronic kidney disease with hypertension and no diabetes (10743_13),0
